t_s,frametime_ms,fps
0.0,20.259,49.36
0.0203,20.413,48.987
0.0407,18.135,55.142
0.0588,19.154,52.208
0.078,19.314,51.776
0.0973,19.263,51.913
0.1165,19.156,52.203
0.1357,19.102,52.351
0.1548,19.457,51.395
0.1743,21.327,46.889
0.1956,20.296,49.271
0.2159,19.374,51.615
0.2353,19.4,51.546
0.2547,20.134,49.667
0.2748,18.247,54.803
0.293,19.63,50.943
0.3127,19.433,51.46
0.3321,20.226,49.442
0.3523,19.855,50.364
0.3722,18.286,54.687
0.3905,21.055,47.496
0.4115,19.198,52.09
0.4307,19.037,52.529
0.4498,17.902,55.859
0.4677,19.952,50.12
0.4876,18.14,55.127
0.5057,20.61,48.519
0.5264,18.159,55.068
0.5445,19.995,50.013
0.5645,19.493,51.302
0.584,19.885,50.29
0.6039,20.37,49.091
0.6243,18.691,53.501
0.6429,20.068,49.831
0.663,18.499,54.057
0.6815,19.281,51.865
0.7008,20.758,48.174
0.7216,19.795,50.518
0.7413,18.993,52.651
0.7603,19.774,50.572
0.7801,19.585,51.058
0.7997,18.338,54.531
0.818,17.244,57.99
0.8353,19.273,51.886
0.8546,19.336,51.717
0.8739,53.684,18.627
0.9276,20.308,49.241
0.9479,17.818,56.124
0.9657,18.373,54.428
0.9841,19.393,51.565
1.0035,20.337,49.172
1.0238,18.693,53.497
1.0425,18.711,53.445
1.0612,19.64,50.915
1.0808,18.684,53.521
1.0995,18.709,53.451
1.1182,19.656,50.875
1.1379,20.15,49.628
1.158,20.083,49.794
1.1781,18.076,55.323
1.1962,20.35,49.14
1.2166,18.497,54.064
1.2351,21.137,47.31
1.2562,19.779,50.558
1.276,19.064,52.455
1.295,19.073,52.43
1.3141,19.127,52.283
1.3332,19.579,51.075
1.3528,18.919,52.857
1.3717,19.911,50.224
1.3916,18.984,52.675
1.4106,20.319,49.215
1.4309,20.581,48.588
1.4515,19.087,52.391
1.4706,19.803,50.497
1.4904,19.567,51.106
1.51,19.64,50.917
1.5296,19.229,52.004
1.5489,19.148,52.224
1.568,19.59,51.046
1.5876,19.138,52.253
1.6067,19.715,50.723
1.6264,19.085,52.397
1.6455,19.433,51.459
1.665,19.094,52.372
1.6841,22.062,45.326
1.7061,20.309,49.24
1.7264,19.225,52.015
1.7457,55.36,18.063
1.801,20.201,49.503
1.8212,20.836,47.993
1.8421,17.783,56.233
1.8598,21.515,46.478
1.8813,18.092,55.272
1.8994,19.294,51.829
1.9187,20.476,48.838
1.9392,19.367,51.633
1.9586,20.156,49.613
1.9787,19.619,50.971
1.9984,20.944,47.747
2.0193,20.075,49.813
2.0394,19.842,50.398
2.0592,21.518,46.473
2.0807,19.83,50.428
2.1006,19.181,52.136
2.1197,18.445,54.214
2.1382,20.993,47.636
2.1592,19.062,52.461
2.1782,20.132,49.673
2.1984,21.44,46.642
2.2198,20.535,48.698
2.2403,19.683,50.804
2.26,20.488,48.81
2.2805,19.303,51.806
2.2998,20.858,47.943
2.3207,19.135,52.261
2.3398,20.799,48.079
2.3606,20.911,47.823
2.3815,21.679,46.128
2.4032,20.87,47.917
2.4241,19.403,51.539
2.4435,21.128,47.33
2.4646,19.51,51.255
2.4841,19.819,50.456
2.5039,20.999,47.622
2.5249,19.372,51.62
2.5443,19.845,50.391
2.5642,21.68,46.125
2.5858,19.938,50.156
2.6058,19.787,50.539
2.6256,20.785,48.113
2.6463,20.311,49.233
2.6667,20.559,48.64
2.6872,20.52,48.733
2.7077,21.744,45.99
2.7295,21.362,46.812
2.7508,20.809,48.055
