t_s,frametime_ms,fps
0.0,19.104,52.344
0.0191,16.412,60.932
0.0355,17.767,56.283
0.0533,15.762,63.445
0.069,16.063,62.254
0.0851,16.278,61.432
0.1014,16.229,61.619
0.1176,17.432,57.367
0.135,18.131,55.153
0.1532,16.715,59.827
0.1699,17.282,57.864
0.1872,17.13,58.377
0.2043,15.706,63.668
0.22,18.396,54.359
0.2384,17.122,58.403
0.2555,17.31,57.771
0.2728,13.849,72.207
0.2867,16.916,59.115
0.3036,18.395,54.364
0.322,16.146,61.935
0.3381,17.278,57.878
0.3554,15.572,64.216
0.371,17.682,56.555
0.3887,17.045,58.669
0.4057,16.105,62.094
0.4218,17.452,57.302
0.4393,15.495,64.537
0.4548,17.191,58.169
0.472,18.016,55.506
0.49,16.626,60.147
0.5066,17.052,58.643
0.5237,16.205,61.709
0.5399,17.068,58.588
0.5569,16.729,59.775
0.5737,17.91,55.836
0.5916,16.85,59.345
0.6084,16.181,61.802
0.6246,17.245,57.987
0.6418,17.049,58.655
0.6589,17.858,55.999
0.6768,17.042,58.678
0.6938,17.055,58.634
0.7109,17.802,56.173
0.7287,16.998,58.832
0.7457,16.915,59.12
0.7626,16.745,59.721
0.7793,18.2,54.945
0.7975,18.026,55.475
0.8155,17.813,56.14
0.8334,19.163,52.185
0.8525,18.209,54.918
0.8707,17.55,56.98
0.8883,19.329,51.737
0.9076,18.509,54.026
0.9261,18.089,55.282
0.9442,17.503,57.133
0.9617,17.977,55.627
0.9797,18.689,53.508
0.9984,17.949,55.714
1.0163,17.409,57.441
1.0337,16.338,61.205
1.0501,16.474,60.702
1.0665,18.427,54.27
1.085,17.659,56.627
1.1026,18.711,53.443
1.1213,16.613,60.194
1.1379,16.858,59.317
1.1548,17.609,56.789
1.1724,18.293,54.666
1.1907,18.101,55.245
1.2088,16.748,59.71
1.2256,17.071,58.578
1.2426,18.21,54.913
1.2608,17.369,57.575
1.2782,18.693,53.496
1.2969,17.688,56.536
1.3146,18.087,55.289
1.3327,17.684,56.548
1.3504,15.005,66.644
1.3654,17.452,57.3
1.3828,17.7,56.497
1.4005,18.57,53.85
1.4191,16.459,60.757
1.4355,16.478,60.688
1.452,25.783,38.786
1.4778,18.142,55.12
1.4959,18.743,53.352
1.5147,18.574,53.84
1.5333,17.924,55.791
1.5512,18.254,54.784
1.5694,16.911,59.132
1.5864,17.845,56.037
1.6042,19.605,51.006
1.6238,16.407,60.949
1.6402,16.51,60.569
1.6567,17.615,56.77
1.6743,17.145,58.325
1.6915,17.625,56.738
1.7091,16.994,58.843
1.7261,18.539,53.94
1.7446,17.1,58.481
1.7617,20.241,49.406
1.782,17.584,56.869
1.7996,17.373,57.559
1.8169,17.687,56.539
1.8346,17.627,56.732
1.8523,17.162,58.267
1.8694,17.836,56.067
1.8872,17.602,56.813
1.9049,18.644,53.637
1.9235,17.82,56.118
1.9413,17.22,58.073
1.9585,16.348,61.17
1.9749,18.165,55.051
1.993,18.093,55.271
2.0111,18.089,55.283
2.0292,19.178,52.143
2.0484,17.5,57.143
2.0659,18.098,55.254
2.084,16.437,60.838
2.1004,16.312,61.305
2.1168,18.301,54.643
2.1351,15.661,63.855
2.1507,18.197,54.953
2.1689,18.278,54.712
2.1872,17.248,57.978
2.2044,17.845,56.037
2.2223,18.857,53.031
2.2411,16.489,60.646
2.2576,17.066,58.595
2.2747,18.432,54.253
2.2931,17.925,55.789
2.3111,19.577,51.08
2.3306,18.93,52.826
2.3496,18.472,54.135
2.368,18.502,54.048
2.3865,17.557,56.957
2.4041,17.091,58.512
2.4212,15.844,63.115
2.437,17.42,57.406
2.4544,16.566,60.364
2.471,17.843,56.045
2.4889,16.635,60.113
2.5055,18.342,54.518
2.5238,18.248,54.801
2.5421,16.863,59.3
