t_s,frametime_ms,fps
0.0,18.285,54.689
0.0183,19.333,51.725
0.0376,52.782,18.946
0.0904,18.005,55.541
0.1084,18.54,53.939
0.1269,21.209,47.149
0.1482,16.995,58.842
0.1651,18.463,54.162
0.1836,19.021,52.573
0.2026,17.482,57.202
0.2201,19.693,50.78
0.2398,18.9,52.911
0.2587,20.083,49.794
0.2788,18.672,53.556
0.2975,19.362,51.647
0.3168,17.357,57.614
0.3342,18.654,53.607
0.3528,17.429,57.376
0.3703,18.761,53.301
0.389,18.651,53.616
0.4077,17.217,58.084
0.4249,18.88,52.965
0.4438,17.765,56.291
0.4615,18.953,52.762
0.4805,19.534,51.192
0.5,17.649,56.662
0.5177,19.768,50.587
0.5374,18.36,54.465
0.5558,20.348,49.145
0.5762,18.023,55.484
0.5942,18.872,52.989
0.613,20.118,49.708
0.6332,20.105,49.739
0.6533,19.172,52.159
0.6724,18.784,53.236
0.6912,17.624,56.74
0.7088,46.391,21.556
0.7552,47.706,20.962
0.8029,17.647,56.667
0.8206,20.18,49.553
0.8408,19.342,51.701
0.8601,18.568,53.855
0.8787,19.169,52.168
0.8979,18.709,53.452
0.9166,18.747,53.342
0.9353,18.828,53.113
0.9541,20.469,48.855
0.9746,18.132,55.152
0.9927,17.349,57.641
1.0101,18.476,54.123
1.0286,17.089,58.518
1.0456,17.189,58.178
1.0628,18.538,53.943
1.0814,18.017,55.502
1.0994,38.838,25.748
1.1382,18.542,53.93
1.1568,19.935,50.162
1.1767,18.865,53.008
1.1956,18.014,55.513
1.2136,18.0,55.555
1.2316,28.276,35.366
1.2599,17.323,57.726
1.2772,19.416,51.503
1.2966,18.601,53.76
1.3152,18.401,54.346
1.3336,19.547,51.158
1.3532,18.153,55.087
1.3713,18.358,54.472
1.3897,19.947,50.133
1.4096,19.0,52.631
1.4286,19.09,52.384
1.4477,20.419,48.974
1.4681,17.548,56.988
1.4857,19.385,51.586
1.5051,17.985,55.601
1.523,20.322,49.207
1.5434,19.253,51.941
1.5626,19.577,51.08
1.5822,18.259,54.767
1.6004,19.073,52.429
1.6195,19.479,51.336
1.639,20.414,48.986
1.6594,18.61,53.735
1.678,20.516,48.743
1.6985,18.649,53.621
1.7172,19.316,51.771
1.7365,18.821,53.132
1.7553,19.761,50.605
1.7751,17.239,58.009
1.7923,58.228,17.174
1.8506,20.906,47.833
1.8715,17.167,58.25
1.8886,19.561,51.122
1.9082,18.715,53.434
1.9269,18.436,54.24
1.9453,18.079,55.312
1.9634,19.064,52.456
1.9825,19.357,51.66
2.0018,19.131,52.272
2.021,18.783,53.24
2.0398,20.745,48.203
2.0605,18.168,55.041
2.0787,20.541,48.684
2.0992,19.187,52.117
2.1184,18.5,54.054
2.1369,18.14,55.126
2.155,18.458,54.178
2.1735,18.558,53.885
2.1921,17.542,57.007
2.2096,19.328,51.739
2.2289,17.491,57.173
2.2464,18.758,53.311
2.2652,20.559,48.64
2.2857,46.475,21.517
2.3322,19.332,51.727
2.3515,18.932,52.819
2.3705,18.228,54.862
2.3887,19.003,52.624
2.4077,19.472,51.355
2.4272,19.18,52.138
2.4464,21.401,46.727
2.4678,20.207,49.489
2.488,18.412,54.313
2.5064,19.191,52.107
2.5256,18.486,54.094
2.5441,18.26,54.765
2.5623,19.0,52.632
2.5813,19.633,50.936
2.6009,18.964,52.733
2.6199,19.489,51.312
2.6394,17.998,55.563
2.6574,18.29,54.675
2.6757,18.569,53.852
2.6943,18.593,53.785
2.7128,18.992,52.655
2.7318,18.372,54.43
2.7502,19.311,51.783
2.7695,20.397,49.026
2.7899,18.444,54.218
2.8084,19.725,50.697
2.8281,17.947,55.72
2.846,20.671,48.377
2.8667,18.861,53.019
2.8856,19.419,51.495
2.905,20.534,48.699
2.9255,18.29,54.676
2.9438,18.946,52.782
2.9628,31.766,31.48
2.9945,19.388,51.579
3.0139,19.084,52.4
3.033,54.699,18.282
3.0877,18.985,52.672
3.1067,20.126,49.687
3.1268,18.263,54.756
3.1451,50.527,19.791
3.1956,18.631,53.674
3.2142,19.311,51.784
3.2335,18.991,52.656
3.2525,20.152,49.623
3.2727,19.717,50.718
3.2924,19.451,51.411
3.3118,19.993,50.016
3.3318,19.452,51.408
3.3513,18.537,53.947
3.3698,18.889,52.94
3.3887,20.202,49.499
3.4089,20.366,49.102
3.4293,19.298,51.818
3.4486,18.91,52.882
3.4675,18.055,55.387
3.4855,18.183,54.998
3.5037,19.603,51.012
3.5233,20.707,48.292
3.544,20.327,49.196
3.5644,18.141,55.123
3.5825,19.99,50.024
3.6025,19.867,50.334
3.6224,20.631,48.471
3.643,18.695,53.49
3.6617,17.426,57.385
3.6791,18.0,55.557
3.6971,20.427,48.955
3.7175,19.555,51.138
3.7371,19.71,50.736
3.7568,19.922,50.195
3.7767,20.278,49.314
3.797,21.247,47.065
3.8183,21.708,46.066
3.84,17.865,55.974
3.8578,19.882,50.297
3.8777,18.118,55.195
3.8958,19.717,50.718
3.9155,19.316,51.769
3.9349,17.281,57.866
3.9521,19.695,50.775
3.9718,20.986,47.651
3.9928,19.972,50.071
4.0128,19.036,52.533
4.0318,20.112,49.723
4.0519,20.872,47.911
4.0728,19.521,51.228
4.0923,21.381,46.771
4.1137,19.533,51.194
4.1333,19.208,52.061
4.1525,19.37,51.626
4.1718,20.408,48.999
4.1922,20.407,49.003
4.2126,19.633,50.935
4.2323,19.897,50.26
4.2522,20.76,48.17
4.2729,19.17,52.165
4.2921,19.484,51.325
4.3116,21.04,47.528
4.3326,20.835,47.996
4.3535,20.429,48.95
4.3739,19.304,51.802
4.3932,19.24,51.976
4.4124,20.919,47.803
4.4334,19.478,51.34
4.4528,21.128,47.33
4.474,19.2,52.083
4.4932,19.533,51.196
4.5127,19.364,51.642
4.5321,18.307,54.623
4.5504,18.863,53.013
4.5692,18.632,53.67
4.5879,19.383,51.591
4.6072,19.261,51.918
4.6265,18.941,52.796
4.6454,20.899,47.848
4.6663,19.051,52.491
4.6854,18.854,53.039
4.7043,20.949,47.735
4.7252,20.25,49.383
